ENSSHAT00000000001.1	ENSSHAG00000000001.1	CERCAM
ENSSHAT00000000116.1	ENSSHAG00000000099.1	
ENSSHAT00000000117.1	ENSSHAG00000000100.1	
ENSSHAT00000000118.1	ENSSHAG00000000101.1	
ENSSHAT00000000119.1	ENSSHAG00000000102.1	
ENSSHAT00000000120.1	ENSSHAG00000000103.1	
ENSSHAT00000000121.1	ENSSHAG00000000104.1	
ENSSHAT00000000122.1	ENSSHAG00000000105.1	FIS1
ENSSHAT00000000123.1	ENSSHAG00000000106.1	EIF4H
ENSSHAT00000000125.1	ENSSHAG00000000108.1	
ENSSHAT00000000126.1	ENSSHAG00000000109.1	
ENSSHAT00000000127.1	ENSSHAG00000000110.1	RAD54L
ENSSHAT00000000128.1	ENSSHAG00000000111.1	RPS8
ENSSHAT00000000129.1	ENSSHAG00000000112.1	PLG
ENSSHAT00000000130.1	ENSSHAG00000000112.1	PLG
ENSSHAT00000000131.1	ENSSHAG00000000113.1	TRIM58
ENSSHAT00000000132.1	ENSSHAG00000000114.1	ARRB2
ENSSHAT00000000133.1	ENSSHAG00000000115.1	HMGA1
ENSSHAT00000000134.1	ENSSHAG00000000115.1	HMGA1
ENSSHAT00000000135.1	ENSSHAG00000000116.1	
ENSSHAT00000000136.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000137.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000138.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000139.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000140.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000141.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000142.1	ENSSHAG00000000117.1	SAHAI-01
ENSSHAT00000000143.1	ENSSHAG00000000118.1	BAZ2A
ENSSHAT00000000144.1	ENSSHAG00000000118.1	BAZ2A
ENSSHAT00000000145.1	ENSSHAG00000000119.1	GGA1
ENSSHAT00000000146.1	ENSSHAG00000000120.1	
ENSSHAT00000000147.1	ENSSHAG00000000121.1	KEL
ENSSHAT00000000148.1	ENSSHAG00000000121.1	KEL
ENSSHAT00000000149.1	ENSSHAG00000000122.1	PAN2
ENSSHAT00000000150.1	ENSSHAG00000000122.1	PAN2
ENSSHAT00000000151.1	ENSSHAG00000000123.1	
ENSSHAT00000000152.1	ENSSHAG00000000124.1	
ENSSHAT00000000153.1	ENSSHAG00000000125.1	
ENSSHAT00000000154.1	ENSSHAG00000000126.1	NT5DC3
ENSSHAT00000000155.1	ENSSHAG00000000127.1	
ENSSHAT00000000156.1	ENSSHAG00000000127.1	
ENSSHAT00000000157.1	ENSSHAG00000000128.1	
ENSSHAT00000000158.1	ENSSHAG00000000129.1	PDGFC
ENSSHAT00000000159.1	ENSSHAG00000000130.1	
ENSSHAT00000000160.1	ENSSHAG00000000131.1	FAU
ENSSHAT00000000161.1	ENSSHAG00000000132.1	MAN2B2
ENSSHAT00000000162.1	ENSSHAG00000000132.1	MAN2B2
ENSSHAT00000000163.1	ENSSHAG00000000133.1	
ENSSHAT00000000164.1	ENSSHAG00000000134.1	TXK
ENSSHAT00000000165.1	ENSSHAG00000000135.1	
ENSSHAT00000000166.1	ENSSHAG00000000136.1	
ENSSHAT00000000167.1	ENSSHAG00000000137.1	
ENSSHAT00000000168.1	ENSSHAG00000000138.1	SUV39H1
ENSSHAT00000000169.1	ENSSHAG00000000138.1	SUV39H1
ENSSHAT00000000170.1	ENSSHAG00000000139.1	
ENSSHAT00000000171.1	ENSSHAG00000000140.1	
ENSSHAT00000000172.1	ENSSHAG00000000141.1	
ENSSHAT00000000173.1	ENSSHAG00000000142.1	
ENSSHAT00000000174.1	ENSSHAG00000000143.1	
ENSSHAT00000000175.1	ENSSHAG00000000144.1	ERH
ENSSHAT00000000176.1	ENSSHAG00000000145.1	
ENSSHAT00000000177.1	ENSSHAG00000000146.1	
ENSSHAT00000000178.1	ENSSHAG00000000147.1	
ENSSHAT00000000179.1	ENSSHAG00000000148.1	
ENSSHAT00000000180.1	ENSSHAG00000000149.1	AP2A1
ENSSHAT00000000181.1	ENSSHAG00000000150.1	
ENSSHAT00000000182.1	ENSSHAG00000000151.1	
ENSSHAT00000000183.1	ENSSHAG00000000151.1	
ENSSHAT00000000184.1	ENSSHAG00000000152.1	
ENSSHAT00000000185.1	ENSSHAG00000000152.1	
ENSSHAT00000000186.1	ENSSHAG00000000153.1	
ENSSHAT00000000187.1	ENSSHAG00000000154.1	UCHL3
ENSSHAT00000000188.1	ENSSHAG00000000155.1	
ENSSHAT00000000189.1	ENSSHAG00000000156.1	
ENSSHAT00000000190.1	ENSSHAG00000000157.1	PDZD4
ENSSHAT00000000191.1	ENSSHAG00000000157.1	PDZD4
ENSSHAT00000000192.1	ENSSHAG00000000158.1	
ENSSHAT00000000193.1	ENSSHAG00000000159.1	
ENSSHAT00000000194.1	ENSSHAG00000000160.1	
ENSSHAT00000000195.1	ENSSHAG00000000161.1	
ENSSHAT00000000196.1	ENSSHAG00000000162.1	
ENSSHAT00000000197.1	ENSSHAG00000000163.1	PGP
ENSSHAT00000000198.1	ENSSHAG00000000164.1	
ENSSHAT00000000199.1	ENSSHAG00000000165.1	
ENSSHAT00000000200.1	ENSSHAG00000000165.1	
ENSSHAT00000000201.1	ENSSHAG00000000166.1	BCL6B
ENSSHAT00000000202.1	ENSSHAG00000000167.1	
ENSSHAT00000000203.1	ENSSHAG00000000168.1	
ENSSHAT00000000204.1	ENSSHAG00000000169.1	
ENSSHAT00000000205.1	ENSSHAG00000000170.1	TRIM10
ENSSHAT00000000206.1	ENSSHAG00000000170.1	TRIM10
ENSSHAT00000000207.1	ENSSHAG00000000171.1	
ENSSHAT00000000208.1	ENSSHAG00000000172.1	
ENSSHAT00000000209.1	ENSSHAG00000000173.1	
ENSSHAT00000000210.1	ENSSHAG00000000174.1	BOK
ENSSHAT00000000211.1	ENSSHAG00000000175.1	
ENSSHAT00000000212.1	ENSSHAG00000000176.1	
ENSSHAT00000000213.1	ENSSHAG00000000177.1	
ENSSHAT00000000214.1	ENSSHAG00000000177.1	
ENSSHAT00000000215.1	ENSSHAG00000000178.1	
ENSSHAT00000000216.1	ENSSHAG00000000179.1	
ENSSHAT00000000217.1	ENSSHAG00000000180.1	
ENSSHAT00000000218.1	ENSSHAG00000000181.1	
ENSSHAT00000000219.1	ENSSHAG00000000182.1	
ENSSHAT00000000220.1	ENSSHAG00000000183.1	
ENSSHAT00000000222.1	ENSSHAG00000000185.1	
ENSSHAT00000000223.1	ENSSHAG00000000186.1	
ENSSHAT00000000224.1	ENSSHAG00000000187.1	SOCS1
ENSSHAT00000000225.1	ENSSHAG00000000188.1	
ENSSHAT00000000226.1	ENSSHAG00000000189.1	NCAPH2
ENSSHAT00000000227.1	ENSSHAG00000000189.1	NCAPH2
ENSSHAT00000000228.1	ENSSHAG00000000190.1	
ENSSHAT00000000229.1	ENSSHAG00000000191.1	
ENSSHAT00000000231.1	ENSSHAG00000000193.1	
ENSSHAT00000000232.1	ENSSHAG00000000194.1	EGFL7
ENSSHAT00000000233.1	ENSSHAG00000000195.1	
ENSSHAT00000000234.1	ENSSHAG00000000196.1	
ENSSHAT00000000235.1	ENSSHAG00000000197.1	
ENSSHAT00000000236.1	ENSSHAG00000000198.1	
ENSSHAT00000000237.1	ENSSHAG00000000199.1	
ENSSHAT00000000238.1	ENSSHAG00000000200.1	
ENSSHAT00000000239.1	ENSSHAG00000000201.1	
ENSSHAT00000000240.1	ENSSHAG00000000202.1	GIPR
ENSSHAT00000000241.1	ENSSHAG00000000202.1	GIPR
ENSSHAT00000000242.1	ENSSHAG00000000203.1	
ENSSHAT00000000243.1	ENSSHAG00000000204.1	
ENSSHAT00000000244.1	ENSSHAG00000000205.1	
ENSSHAT00000000245.1	ENSSHAG00000000206.1	
ENSSHAT00000000246.1	ENSSHAG00000000207.1	
ENSSHAT00000000247.1	ENSSHAG00000000208.1	
ENSSHAT00000000248.1	ENSSHAG00000000209.1	
ENSSHAT00000000249.1	ENSSHAG00000000210.1	
ENSSHAT00000000250.1	ENSSHAG00000000211.1	
ENSSHAT00000000251.1	ENSSHAG00000000212.1	
ENSSHAT00000000252.1	ENSSHAG00000000213.1	
ENSSHAT00000000253.1	ENSSHAG00000000214.1	
ENSSHAT00000000254.1	ENSSHAG00000000215.1	
ENSSHAT00000000255.1	ENSSHAG00000000216.1	
ENSSHAT00000000256.1	ENSSHAG00000000217.1	
ENSSHAT00000000257.1	ENSSHAG00000000218.1	
ENSSHAT00000000258.1	ENSSHAG00000000219.1	CALB2
ENSSHAT00000000259.1	ENSSHAG00000000220.1	ACTR2
ENSSHAT00000000260.1	ENSSHAG00000000220.1	ACTR2
ENSSHAT00000000261.1	ENSSHAG00000000221.1	
ENSSHAT00000000262.1	ENSSHAG00000000222.1	
ENSSHAT00000000263.1	ENSSHAG00000000223.1	
ENSSHAT00000000264.1	ENSSHAG00000000224.1	
ENSSHAT00000000265.1	ENSSHAG00000000225.1	ETNK2
ENSSHAT00000000266.1	ENSSHAG00000000226.1	LIN37
ENSSHAT00000000267.1	ENSSHAG00000000227.1	
ENSSHAT00000000268.1	ENSSHAG00000000228.1	
ENSSHAT00000000269.1	ENSSHAG00000000229.1	
ENSSHAT00000000270.1	ENSSHAG00000000230.1	SYCN
ENSSHAT00000000271.1	ENSSHAG00000000231.1	PHLDA1
ENSSHAT00000000272.1	ENSSHAG00000000232.1	SMCR8
ENSSHAT00000000273.1	ENSSHAG00000000233.1	
ENSSHAT00000000274.1	ENSSHAG00000000234.1	
ENSSHAT00000000275.1	ENSSHAG00000000235.1	
ENSSHAT00000000276.1	ENSSHAG00000000236.1	
ENSSHAT00000000277.1	ENSSHAG00000000237.1	IARS1
ENSSHAT00000000278.1	ENSSHAG00000000238.1	
ENSSHAT00000000279.1	ENSSHAG00000000239.1	
ENSSHAT00000000280.1	ENSSHAG00000000240.1	
ENSSHAT00000000281.1	ENSSHAG00000000241.1	
ENSSHAT00000000282.1	ENSSHAG00000000242.1	
ENSSHAT00000000283.1	ENSSHAG00000000243.1	
ENSSHAT00000000284.1	ENSSHAG00000000244.1	
ENSSHAT00000000285.1	ENSSHAG00000000245.1	
ENSSHAT00000000286.1	ENSSHAG00000000246.1	
ENSSHAT00000000287.1	ENSSHAG00000000247.1	SLC2A7
ENSSHAT00000000288.1	ENSSHAG00000000248.1	SLC16A8
ENSSHAT00000000289.1	ENSSHAG00000000249.1	
ENSSHAT00000000290.1	ENSSHAG00000000250.1	JAG2
ENSSHAT00000000291.1	ENSSHAG00000000251.1	
ENSSHAT00000000292.1	ENSSHAG00000000252.1	KLK7
ENSSHAT00000000293.1	ENSSHAG00000000253.1	
ENSSHAT00000000294.1	ENSSHAG00000000253.1	
ENSSHAT00000000295.1	ENSSHAG00000000254.1	
ENSSHAT00000000296.1	ENSSHAG00000000255.1	
ENSSHAT00000000297.1	ENSSHAG00000000256.1	
ENSSHAT00000000298.1	ENSSHAG00000000257.1	
ENSSHAT00000000299.1	ENSSHAG00000000258.1	
ENSSHAT00000000300.1	ENSSHAG00000000259.1	
ENSSHAT00000000301.1	ENSSHAG00000000260.1	
ENSSHAT00000000302.1	ENSSHAG00000000261.1	
ENSSHAT00000000303.1	ENSSHAG00000000262.1	TIRAP
ENSSHAT00000000304.1	ENSSHAG00000000263.1	
ENSSHAT00000000305.1	ENSSHAG00000000264.1	
ENSSHAT00000000306.1	ENSSHAG00000000265.1	
ENSSHAT00000000307.1	ENSSHAG00000000266.1	
ENSSHAT00000000308.1	ENSSHAG00000000267.1	
ENSSHAT00000000309.1	ENSSHAG00000000268.1	
ENSSHAT00000000310.1	ENSSHAG00000000269.1	
ENSSHAT00000000311.1	ENSSHAG00000000270.1	
ENSSHAT00000000312.1	ENSSHAG00000000271.1	
ENSSHAT00000000313.1	ENSSHAG00000000272.1	
ENSSHAT00000000314.1	ENSSHAG00000000273.1	
ENSSHAT00000000315.1	ENSSHAG00000000274.1	TSPAN6
ENSSHAT00000000316.1	ENSSHAG00000000275.1	
ENSSHAT00000000317.1	ENSSHAG00000000276.1	
ENSSHAT00000000318.1	ENSSHAG00000000277.1	
ENSSHAT00000000319.1	ENSSHAG00000000278.1	
ENSSHAT00000000320.1	ENSSHAG00000000279.1	
ENSSHAT00000000321.1	ENSSHAG00000000279.1	
ENSSHAT00000000322.1	ENSSHAG00000000280.1	
ENSSHAT00000000323.1	ENSSHAG00000000281.1	
ENSSHAT00000000324.1	ENSSHAG00000000282.1	
ENSSHAT00000000325.1	ENSSHAG00000000283.1	
ENSSHAT00000000326.1	ENSSHAG00000000284.1	NBEAL1
ENSSHAT00000000327.1	ENSSHAG00000000284.1	NBEAL1
ENSSHAT00000000328.1	ENSSHAG00000000285.1	
ENSSHAT00000000329.1	ENSSHAG00000000286.1	
ENSSHAT00000000330.1	ENSSHAG00000000287.1	
ENSSHAT00000000331.1	ENSSHAG00000000288.1	
ENSSHAT00000000332.1	ENSSHAG00000000289.1	
ENSSHAT00000000333.1	ENSSHAG00000000290.1	
ENSSHAT00000000334.1	ENSSHAG00000000291.1	
ENSSHAT00000000335.1	ENSSHAG00000000292.1	
ENSSHAT00000000336.1	ENSSHAG00000000293.1	UHRF1
ENSSHAT00000000337.1	ENSSHAG00000000294.1	
ENSSHAT00000000338.1	ENSSHAG00000000295.1	
ENSSHAT00000000339.1	ENSSHAG00000000296.1	POP1
ENSSHAT00000000340.1	ENSSHAG00000000296.1	POP1
ENSSHAT00000000341.1	ENSSHAG00000000297.1	
ENSSHAT00000000342.1	ENSSHAG00000000298.1	
ENSSHAT00000000343.1	ENSSHAG00000000299.1	
ENSSHAT00000000344.1	ENSSHAG00000000300.1	
ENSSHAT00000000345.1	ENSSHAG00000000301.1	
ENSSHAT00000000346.1	ENSSHAG00000000302.1	
ENSSHAT00000000347.1	ENSSHAG00000000303.1	SBF1
ENSSHAT00000000348.1	ENSSHAG00000000304.1	
ENSSHAT00000000349.1	ENSSHAG00000000305.1	
ENSSHAT00000000350.1	ENSSHAG00000000306.1	
ENSSHAT00000000351.1	ENSSHAG00000000307.1	
ENSSHAT00000000352.1	ENSSHAG00000000308.1	
ENSSHAT00000000353.1	ENSSHAG00000000308.1	
ENSSHAT00000000354.1	ENSSHAG00000000309.1	
ENSSHAT00000000355.1	ENSSHAG00000000310.1	
ENSSHAT00000000356.1	ENSSHAG00000000311.1	
ENSSHAT00000000357.1	ENSSHAG00000000312.1	FN3KRP
ENSSHAT00000000358.1	ENSSHAG00000000313.1	C12orf73
ENSSHAT00000000359.1	ENSSHAG00000000314.1	
ENSSHAT00000000360.1	ENSSHAG00000000315.1	
ENSSHAT00000000361.1	ENSSHAG00000000316.1	
ENSSHAT00000000362.1	ENSSHAG00000000317.1	
ENSSHAT00000000363.1	ENSSHAG00000000318.1	
ENSSHAT00000000364.1	ENSSHAG00000000319.1	ST13
ENSSHAT00000000365.1	ENSSHAG00000000319.1	ST13
ENSSHAT00000000366.1	ENSSHAG00000000319.1	ST13
ENSSHAT00000000367.1	ENSSHAG00000000320.1	
ENSSHAT00000000368.1	ENSSHAG00000000321.1	TRRAP
ENSSHAT00000000369.1	ENSSHAG00000000321.1	TRRAP
ENSSHAT00000000370.1	ENSSHAG00000000322.1	
ENSSHAT00000000371.1	ENSSHAG00000000322.1	
ENSSHAT00000000372.1	ENSSHAG00000000323.1	
ENSSHAT00000000373.1	ENSSHAG00000000324.1	MTFP1
ENSSHAT00000000374.1	ENSSHAG00000000325.1	
ENSSHAT00000000375.1	ENSSHAG00000000326.1	OR9A2
ENSSHAT00000000376.1	ENSSHAG00000000326.1	OR9A2
ENSSHAT00000000377.1	ENSSHAG00000000327.1	
ENSSHAT00000000378.1	ENSSHAG00000000328.1	PIN4
ENSSHAT00000000379.1	ENSSHAG00000000329.1	OXGR1
ENSSHAT00000000380.1	ENSSHAG00000000330.1	MRPL3
ENSSHAT00000000381.1	ENSSHAG00000000331.1	
ENSSHAT00000000382.1	ENSSHAG00000000332.1	
ENSSHAT00000000383.1	ENSSHAG00000000333.1	
ENSSHAT00000000384.1	ENSSHAG00000000333.1	
ENSSHAT00000000385.1	ENSSHAG00000000334.1	
ENSSHAT00000000386.1	ENSSHAG00000000335.1	
ENSSHAT00000000387.1	ENSSHAG00000000336.1	
ENSSHAT00000000388.1	ENSSHAG00000000337.1	
ENSSHAT00000000389.1	ENSSHAG00000000338.1	
ENSSHAT00000000390.1	ENSSHAG00000000339.1	
ENSSHAT00000000391.1	ENSSHAG00000000340.1	
ENSSHAT00000000392.1	ENSSHAG00000000341.1	
ENSSHAT00000000393.1	ENSSHAG00000000342.1	
ENSSHAT00000000394.1	ENSSHAG00000000342.1	
ENSSHAT00000000395.1	ENSSHAG00000000343.1	
ENSSHAT00000000396.1	ENSSHAG00000000344.1	
ENSSHAT00000000397.1	ENSSHAG00000000345.1	YIPF4
ENSSHAT00000000398.1	ENSSHAG00000000346.1	
ENSSHAT00000000399.1	ENSSHAG00000000347.1	
ENSSHAT00000000400.1	ENSSHAG00000000348.1	PTPA
ENSSHAT00000000401.1	ENSSHAG00000000348.1	PTPA
ENSSHAT00000000402.1	ENSSHAG00000000349.1	
ENSSHAT00000000403.1	ENSSHAG00000000350.1	NEK11
ENSSHAT00000000404.1	ENSSHAG00000000351.1	
ENSSHAT00000000405.1	ENSSHAG00000000352.1	
ENSSHAT00000000406.1	ENSSHAG00000000353.1	EBF3
ENSSHAT00000000407.1	ENSSHAG00000000354.1	
ENSSHAT00000000408.1	ENSSHAG00000000355.1	
ENSSHAT00000000409.1	ENSSHAG00000000356.1	
ENSSHAT00000000410.1	ENSSHAG00000000357.1	
ENSSHAT00000000411.1	ENSSHAG00000000358.1	
ENSSHAT00000000412.1	ENSSHAG00000000359.1	
ENSSHAT00000000413.1	ENSSHAG00000000360.1	PTPRE
ENSSHAT00000000414.1	ENSSHAG00000000361.1	
ENSSHAT00000000415.1	ENSSHAG00000000362.1	
ENSSHAT00000000416.1	ENSSHAG00000000363.1	
ENSSHAT00000000417.1	ENSSHAG00000000363.1	
ENSSHAT00000000418.1	ENSSHAG00000000364.1	
ENSSHAT00000000419.1	ENSSHAG00000000365.1	
ENSSHAT00000000420.1	ENSSHAG00000000366.1	
ENSSHAT00000000421.1	ENSSHAG00000000367.1	
ENSSHAT00000000422.1	ENSSHAG00000000368.1	
ENSSHAT00000000423.1	ENSSHAG00000000369.1	
ENSSHAT00000000424.1	ENSSHAG00000000370.1	
ENSSHAT00000000425.1	ENSSHAG00000000371.1	RELL1
ENSSHAT00000000426.1	ENSSHAG00000000372.1	SF3B3
ENSSHAT00000000427.1	ENSSHAG00000000372.1	SF3B3
ENSSHAT00000000428.1	ENSSHAG00000000373.1	
ENSSHAT00000000429.1	ENSSHAG00000000374.1	
ENSSHAT00000000430.1	ENSSHAG00000000375.1	SLC25A22
ENSSHAT00000000431.1	ENSSHAG00000000376.1	
ENSSHAT00000000432.1	ENSSHAG00000000377.1	
ENSSHAT00000000433.1	ENSSHAG00000000378.1	RRN3
ENSSHAT00000000434.1	ENSSHAG00000000379.1	
ENSSHAT00000000435.1	ENSSHAG00000000380.1	
ENSSHAT00000000436.1	ENSSHAG00000000381.1	
ENSSHAT00000000437.1	ENSSHAG00000000382.1	
ENSSHAT00000000438.1	ENSSHAG00000000382.1	
ENSSHAT00000000439.1	ENSSHAG00000000383.1	
ENSSHAT00000000440.1	ENSSHAG00000000384.1	
ENSSHAT00000000441.1	ENSSHAG00000000385.1	
ENSSHAT00000000442.1	ENSSHAG00000000386.1	
ENSSHAT00000000443.1	ENSSHAG00000000387.1	
ENSSHAT00000000444.1	ENSSHAG00000000388.1	
ENSSHAT00000000445.1	ENSSHAG00000000389.1	
ENSSHAT00000000446.1	ENSSHAG00000000390.1	MRPL49
ENSSHAT00000000447.1	ENSSHAG00000000391.1	
ENSSHAT00000000448.1	ENSSHAG00000000392.1	
ENSSHAT00000000449.1	ENSSHAG00000000393.1	
ENSSHAT00000000450.1	ENSSHAG00000000394.1	TWSG1
ENSSHAT00000000451.1	ENSSHAG00000000395.1	
ENSSHAT00000000452.1	ENSSHAG00000000396.1	
ENSSHAT00000000453.1	ENSSHAG00000000397.1	
ENSSHAT00000000454.1	ENSSHAG00000000398.1	OMD
ENSSHAT00000000455.1	ENSSHAG00000000399.1	BLVRA
ENSSHAT00000000456.1	ENSSHAG00000000400.1	
ENSSHAT00000000457.1	ENSSHAG00000000401.1	OR4D6
ENSSHAT00000000458.1	ENSSHAG00000000402.1	
ENSSHAT00000000459.1	ENSSHAG00000000403.1	CCKAR
ENSSHAT00000000460.1	ENSSHAG00000000404.1	
ENSSHAT00000000461.1	ENSSHAG00000000405.1	
ENSSHAT00000000462.1	ENSSHAG00000000406.1	RPL18A
ENSSHAT00000000463.1	ENSSHAG00000000407.1	
